GLORIA_ID,Chl_mean,Chl_std,Chl_N,Chl_N_type,Chl_plus_phaeo_mean,Chl_plus_phaeo_std,Chl_plus_phaeo_N,Chl_plus_phaeo_N_type,TSS_mean,TSS_std,TSS_N,TSS_N_type,aCDOM_mean,aCDOM_std,aCDOM_N,aCDOM_N_type
GID_220,NaN,NaN,NaN,,NaN,NaN,NaN,,1.667,0.222222222,3,lab,NaN,NaN,NaN,
GID_221,NaN,NaN,NaN,,NaN,NaN,NaN,,1.567,0.115470054,3,lab,NaN,NaN,NaN,
GID_222,NaN,NaN,NaN,,NaN,NaN,NaN,,1.67,0.057735027,3,lab,NaN,NaN,NaN,
GID_223,NaN,NaN,NaN,,NaN,NaN,NaN,,1.7,0.292231841,3,lab,NaN,NaN,NaN,
GID_224,NaN,NaN,NaN,,NaN,NaN,NaN,,1.17,0.321455025,3,lab,NaN,NaN,NaN,
GID_225,NaN,NaN,NaN,,NaN,NaN,NaN,,2.44,0.203670031,3,lab,NaN,NaN,NaN,
GID_226,NaN,NaN,NaN,,NaN,NaN,NaN,,5.022,0.203670031,3,lab,NaN,NaN,NaN,
GID_227,NaN,NaN,NaN,,NaN,NaN,NaN,,5.556,0.468251278,3,lab,NaN,NaN,NaN,
GID_228,NaN,NaN,NaN,,NaN,NaN,NaN,,1.733,0.152752523,3,lab,NaN,NaN,NaN,
GID_229,NaN,NaN,NaN,,NaN,NaN,NaN,,2.167,0.251661148,3,lab,NaN,NaN,NaN,
GID_230,NaN,NaN,NaN,,NaN,NaN,NaN,,2.267,0.808290377,3,lab,NaN,NaN,NaN,
GID_231,NaN,NaN,NaN,,NaN,NaN,NaN,,3.889,0.769800359,3,lab,NaN,NaN,NaN,
GID_232,NaN,NaN,NaN,,NaN,NaN,NaN,,4.133,0.923760431,3,lab,NaN,NaN,NaN,
GID_233,NaN,NaN,NaN,,NaN,NaN,NaN,,2.6,0.346410162,3,lab,NaN,NaN,NaN,
GID_234,NaN,NaN,NaN,,NaN,NaN,NaN,,2.667,0.166666667,3,lab,NaN,NaN,NaN,
GID_235,NaN,NaN,NaN,,NaN,NaN,NaN,,6.4,3.28e-14,3,lab,NaN,NaN,NaN,
